school_code,postal_code,city,name
0780253B,78200,Mantes-la-Jolie,Ecole maternelle Les Pervenches
0260665G,26700,La Garde-Adhémar,Ecole privée la Garde Adhemar
0261452M,26400,La Roche-sur-Grane,Ecole primaire Le Colibri
0442820B,44800,Saint-Herblain,Ecole primaire privée Diwan
0491176M,49260,Bellevigne-les-Châteaux,Ecole primaire privée Saint Vincent
0491351C,49220,Erdre-en-Anjou,Ecole primaire privée Sainte-Marie
0540148T,54460,Aingeray,Ecole élémentaire Robert Desnos
0540149U,54170,Allain,ECOLE PRIMAIRE PUBLIQUE
0540156B,54450,Ancerviller,Ecole primaire
0540162H,54110,Anthelupt,Ecole maternelle
0540207G,54450,Barbas,Ecole élémentaire
0540439J,54122,Fontenoy-la-Joûte,Ecole élémentaire
0540678U,54150,Lubey,Ecole élémentaire
0540978V,54290,Rozelieures,École élémentaire publique
0540982Z,54950,Saint-Clément,Ecole primaire Cyfflé
0541131L,54290,Villacourt,École primaire publique
0541180P,54890,Waville,Ecole primaire
0542162G,54385,Domèvre-en-Haye,Ecole élémentaire
0542248A,54460,Aingeray,Ecole maternelle La Pastorale
0630182F,63480,Bertignat,Ecole primaire Réné Guy Cadou
0671934N,67380,Lingolsheim,Ecole maternelle Les Primevères
0790196J,79100,Luzay,Ecole primaire
0790411T,79290,Saint-Martin-de-Sanzay,Ecole primaire
0790473K,79100,Saint-Jean-de-Thouars,Ecole primaire
0790476N,79600,Plaine-et-Vallées,Ecole primaire
0790548S,79100,Thouars,Ecole primaire Paul Bert
0640746N,64410,Séby,ECOLE ELEMENTAIRE PUBLIQUE
0670340F,67850,Offendorf,Ecole maternelle Les Petits Matelots
0671352F,67230,Kertzfeld,Ecole primaire
0671354H,67230,Kogenheim,Ecole primaire René Cassin
0671364U,67230,Sermersheim,Ecole primaire
0672146U,67230,Benfeld,Ecole maternelle Vosges
0672838W,67440,Hengwiller,Ecole élémentaire
0672874K,67850,Herrlisheim,Ecole maternelle
0672934A,67850,Offendorf,Ecole élémentaire Les boutons d'or
0772439H,77600,Bussy-Saint-Georges,Ecole maternelle Jean de Lafontaine
0922885L,92230,Gennevilliers,Ecole élémentaire Anatole France A
0922886M,92230,Gennevilliers,Ecole élémentaire Anatole France B
0010607E,01300,Belley,Ecole élémentaire Jean Ferrat
0011110B,01100,Oyonnax,Ecole primaire L' Eglisette
0011224A,01200,Valserhône,Ecole primaire Marius Pinard
0011419M,01280,Prévessin-Moëns,ECOLE PRIMAIRE PUBLIQUE ALICE
0020744Y,02700,Tergnier,Ecole primaire Pasteur
0030472X,03150,Varennes-sur-Allier,Ecole élémentaire George Sand
0060268J,06130,Grasse,Ecole élémentaire Dracéa
0061027J,06100,Nice,Ecole élémentaire privée Nazareth
0061060V,06000,Nice,Ecole élémentaire privée Sasserno
0070700Y,07300,Tournon-sur-Rhône,Ecole primaire Jean Moulin
0070867E,07100,Annonay,Ecole primaire privée Sainte Claire
0071166E,07400,Le Teil,Ecole maternelle Violette/Haut Frayol
0090351H,09100,Pamiers,Ecole maternelle Les Condamines
0120924P,12150,Sévérac d'Aveyron,Ecole élémentaire publique Jean Moulin
0121424H,12000,Rodez,Ecole primaire privée  Saint-Joseph
0130252D,13100,Aix-en-Provence,Ecole élémentaire Jules Isaac
0130536M,13015,Marseille 15e  Arrondissement,Ecole élémentaire La Cabucelle
0130551D,13011,Marseille 11e  Arrondissement,Ecole élémentaire Cité Michelis 1
0130609S,13010,Marseille 10e  Arrondissement,Ecole élémentaire  Pont de Vivaux Saccoman
0131804R,13020,Marseille  1er Arrondissement,Ecole primaire privée Perrin Sainte Trinité
0132025F,13710,Fuveau,Ecole primaire privée Sainte Marie
0133656D,13006,Marseille  6e  Arrondissement,Ecole maternelle  Fiolle -Falque
0134058R,13600,La Ciotat,école maternelle maria-fabry
0134062V,13710,Fuveau,école élémentaire ste victoire international school
0140363U,14120,Mondeville,Ecole primaire Paul Langevin
0140550X,14340,Cambremer,Ecole primaire Victor Hugo
0141092L,14500,Vire Normandie,Ecole primaire Saint Exupéry
0141948S,14140,Livarot-Pays-d'Auge,Ecole élémentaire Livarot
0142091X,14270,Mézidon Vallée d'Auge,Ecole élémentaire Pierre et Marie Curie
0142176P,14000,Caen,Ecole élémentaire d'application Jean Moulin
0142256B,14540,Castine-en-Plaine,Ecole primaire vent de plaine
0150678F,15800,Vic-sur-Cère,Ecole élémentaire Etienne Labrunie
0170404X,17450,Fouras,Ecole maternelle Louise Miche Fouras
0171070W,17430,Tonnay-Charente,Ecole primaire privée Sainte Anne
0180973K,18000,Bourges,Ecole privée Sainte Jeanne de France
0190642V,19100,Brive-la-Gaillarde,Ecole primaire privée La Salle
0190699G,19360,Malemort,Ecole maternelle Jules Ferry
0190713X,19360,Malemort,Ecole élémentaire La Grande Borie
0190760Y,19000,Tulle,Ecole maternelle Clément Chausson
0211682P,21000,Dijon,ECOLE MATERNELLE D'APPLICATION PETIT BERNARD
0220899H,22400,Lamballe-Armor,Ecole primaire publique Mathurin Méheut
0221098Z,22420,Plouaret,Ecole primaire publique Jean Denis
0221150F,22330,Le Mené,Ecole primaire privée Saint Joseph
0221263D,22170,Plouvara,Ecole primaire privée Saint Yves
0221297R,22600,Saint-Barnabé,Ecole primaire privée Sainte Jeanne d'Arc
0221563E,22500,Paimpol,Ecole primaire privée Sainte Elisabeth
0221801N,22000,Saint-Brieuc,Ecole primaire privée Diwan
0230193K,23400,Saint-Dizier-Masbaraud,Ecole primaire Masbaraud
0230484B,23300,La Souterraine,Ecole élémentaire Tristan L'Hermite
0240659L,24410,Saint Aulaye-Puymangou,Ecole élémentaire N. et L. Bertrand
0250796E,25150,Pont-de-Roide-Vermondans,Ecole élémentaire mixte 1
0250798G,25150,Pont-de-Roide-Vermondans,Ecole maternelle Louis Pergaud
0250901U,25620,Tarcenay-Foucherans,Ecole intercommunale du Plateau de Tarcenay
0260910Y,26290,Donzère,Ecole  privée Sainte Marie
0261524R,26000,Valence,ECOLE MATERNELLE MICHELET
0270431X,27670,Bosroumois,Ecole élémentaire René Belllanger
0270553E,27940,Courcelles-sur-Seine,Ecole primaire Claude Monet
0271281W,27120,Pacy-sur-Eure,Ecole maternelle Les Hérons
0271294K,27500,Pont-Audemer,Ecole primaire Louis Pergaud
0271522H,27940,Le Val d'Hazey,Ecole élémentaire Grand Charlemagne
0271717V,27120,Aigleville,Ecole primaire Les Charmilles
0271741W,27160,Marbois,Ecole élémentaire Gaston Bachelard
0271822J,27940,Le Val d'Hazey,Ecole maternelle le Petit Charlemagne
0280876A,28140,Orgères-en-Beauce,Ecole primaire
0290771F,29710,Gourlizon,Ecole primaire publique Léon Goraguer
0291269X,29217,Le Conquet,Ecole primaire privée Saint Joseph
0291275D,29217,Plougonvelin,Ecole primaire privée Sacré-Coeur
0291310S,29490,Guipavas,Ecole primaire privée Notre-Dame de Tourbian
0291313V,29460,Daoulas,Ecole primaire privée Notre-Dame des Fontaines
0291382V,29670,Henvic,Ecole primaire privée Sainte Juvelte
0291398M,29880,Guissény,Ecole primaire privée Sainte Jeanne d'Arc
0291992H,29200,Brest,Ecole primaire privée Diwan
0291993J,29000,Quimper,Ecole primaire privée Diwan
0292105F,29810,Lampaul-Plouarzel,Ecole primaire publique Kerargroas
0292119W,29000,Quimper,Ecole primaire privée Saint Corentin
0292358F,29470,Plougastel-Daoulas,Ecole primaire privée Diwan
0300385F,30128,Garons,Ecole élémentaire Jean Monnet
0310643F,31410,Mauzac,Ecole primaire publique Jean Jacques Rousseau
0310813R,31600,Saint-Clar-de-Rivière,Ecole élémentaire publique Auguste Zamoyski
0312458D,31700,Blagnac,Ecole primaire publique Louis weidknnet
0312494T,31700,Blagnac,Ecole primaire publique Jean Moulin
0312959Y,31270,Cugnaux,école élémentaire publique Claudie Haigneré
0312960Z,31600,Eaunes,école primaire publique André Audoin
0312962B,31620,Castelnau-d'Estrétefonds,école primaire publique Fondada
0313017L,31150,Gratentour,école primaire publique Thomas Pesquet
0313018M,31400,Toulouse,école primaire publique Canta laouzetto
0330289K,33310,Lormont,Ecole maternelle Paul Fort
0330340R,33120,Arcachon,Ecole primaire Le Moulleau
0333197W,33380,Biganos,Ecole primaire publique Lac vert
0341190J,34530,Montagnac,Ecole primaire privée de Puységur
0342286A,34070,Montpellier,Ecole élémentaire privé Eridan
0342411L,34000,Montpellier,Ecole primaire Jeanne Moreau
0342418U,34300,Agde,Free Little Birds School (Ecole primaire privée)
0350417N,35320,Poligné,Ecole primaire publique les Asphodèles
0351374D,35140,Saint-Hilaire-des-Landes,Ecole primaire privée Ste Anne
0352268A,35360,Boisgervilly,Ecole primaire publique la Rose des Vents
0370601C,37160,Abilly,Ecole primaire Rose Grison
0380305A,38440,Châtonnay,Ecole primaire Le Bourg
0381524A,38490,Les Abrets en Dauphiné,Ecole primaire Eric Tabarly
0381575F,38410,Chamrousse,Ecole primaire Roche Beranger
0381690F,38100,Grenoble,Ecole primaire privée Sainte Marie des Charmilles
0381693J,38000,Grenoble,Ecole primaire privée Saint-Bruno
0382963P,38200,Vienne,Ecole primaire Jean Rostand
0383357T,38130,Echirolles,Ecole élémentaire F. Dolto
0400684B,40000,Mont-de-Marsan,Groupe scolaire privé Jean Cassaigne
0421834R,42000,Saint-Etienne,Ecole primaire privée Sainte Anne
0422057H,42600,Montbrison,Ecole primaire Brillié
0422198L,42500,Le Chambon-Feugerolles,Ecole primaire Jaures-Rousseau
0422312K,42780,Violay,Ecole prim. pr. Montessori Arc-en-Ciel
0441122F,44130,Le Gâvre,Ecole primaire privée Saint Pierre
0441136W,44520,Grand-Auverné,Ecole primaire privée Notre-Dame des Anges
0441161Y,44170,Jans,Ecole primaire privée Saint Michel
0441352F,44680,Saint-Hilaire-de-Chaléons,Ecole primaire privée Sainte Thérèse
0441412W,44071,Nantes,Ecole primaire privée Notre-Dame de Toutes Aides
0441434V,44000,Nantes,Ecole primaire privée Saint Jean XXIII
0441438Z,44300,Nantes,Ecole primaire privée Sainte Claire d'Assise
0460731V,46400,Saint-Céré,Ecole primaire privée sous contrat Calendreta l'Esquirol
0490370L,49370,Bécon-les-Granits,Ecole primaire Léonard de Vinci
0490644J,49140,Rives-du-Loir-en-Anjou,Ecole primaire Emile Joulain
0491094Y,49300,Cholet,Ecole primaire privée Sainte Marie
0491181T,49400,Saumur,Ecole primaire privée de l'Abbaye
0491259C,49190,Rochefort-sur-Loire,Ecole primaire privée Saint Joseph
0491270P,49230,Sèvremoine,Ecole primaire privée Saint Joseph
0491274U,49230,Sèvremoine,Ecole primaire privée Saint Joseph
0491283D,49230,Sèvremoine,Ecole primaire privée Grains de Soleil
0491370Y,49480,Verrières-en-Anjou,Ecole primaire privée Jeanne d'Arc
0491407N,49240,Avrillé,Ecole primaire privée Sainte Colombe
0491424G,49380,Bellevigne-en-Layon,Ecole primaire privée Saint Vincent
0491554Y,49300,Cholet,Ecole primaire privée Saint Pierre Gellusseau
0500337V,50130,Cherbourg-en-Cotentin,Ecole primaire Fraternité
0500551C,50470,Cherbourg-en-Cotentin,Ecole élémentaire Henri Menut
0500651L,50170,Pontorson,Ecole maternelle le Chat Perche
0501211V,50130,Cherbourg-en-Cotentin,Ecole élémentaire  Hameau Noblet
0501237Y,50130,Cherbourg-en-Cotentin,Ecole élémentaire Hameau Baquesne
0501320N,50510,Cérences,Ecole privée Notre-Dame
0501345R,50250,La Haye,Ecole privée Sainte Marie
0501664M,50310,Montebourg,Ecole primaire privée Notre-Dame des Anges
0501726E,50500,Carentan-les-Marais,Ecole primaire les Roseaux
0501808U,50120,Cherbourg-en-Cotentin,Ecole maternelle François Mitterrand
0501821H,50800,Villedieu-les-Poêles-Rouffigny,Ecole élémentaire Jacques Prévert
0530449A,53270,Sainte-Suzanne-et-Chammes,Ecole primaire Perrine Dugué
0530700Y,53350,Ballots,Ecole primaire privée Saint Antoine
0530704C,53170,Bazougers,Ecole primaire privée Saint Paul
0550771P,55170,Ancerville,Ecole primaire publique Les Chevreuils
0571006J,57570,Cattenom,Ecole primaire Sentzich Hugues Aufray
0572528N,57070,Metz,Ecole maternelle Borny 3 Les Mirabelles
0590958W,59140,Dunkerque,Ecole maternelle Neptune
0591036F,59640,Dunkerque,Ecole primaire du Torpilleur
0592049G,59140,Dunkerque,Ecole maternelle Victor Hugo
0593463U,59240,Dunkerque,Ecole maternelle Jules Verne
0721118Z,72000,Le Mans,Ecole primaire privée Saint Aldric-Notre-Dame de Paix
0721123E,72000,Le Mans,Ecole primaire privée Saint Julien
0721131N,72460,Savigné-l'Evêque,Ecole primaire privée Saint Germain
0721258B,72100,Le Mans,Ecole élémentaire Louis Blériot
0730994J,73440,Les Belleville,Ecole élémentaire Praranger
0731264C,73260,Grand-Aigueblanche,Ecole primaire Henri Raffort
0731279U,73110,Valgelon-La Rochette,Ecole élémentaire La Neuve
0740442D,74330,Epagny Metz-Tessy,Ecole primaire publique La Tuilerie Epagny EPAGNY-METZ TESSY
0741011X,74890,Bons-en-Chablais,Ecole primaire privée Saint Joseph BONS-EN-CHABLAIS
0741121S,74000,Annecy,Ecole élémentaire publique La Plaine ANNECY
0741304R,74940,Annecy,Ecole élémentaire publique Les Glaisins Annecy-Le-Vieux ANNECY
0741361C,74960,Annecy,Ecole primaire publique Renoir Cran-Gevrier ANNECY
0741383B,74000,Annecy,Ecole primaire publique Novel ANNECY
0750265F,75015,Paris 15e  Arrondissement,E.P.PR BLOMET 5 rue Blomet
0750977E,75020,Paris 20e  Arrondissement,E.E.PU PYRENEES EA 293 rue des Pyrénées
0751325H,75013,Paris 13e  Arrondissement,E.P.PU KUSS 8 rue Kuss
0752804R,75019,Paris 19e  Arrondissement,E.P.PR MERKAZ OHR JOSEPH 29 bis rue de Thionville
0754934F,75005,Paris  5e  Arrondissement,E.P.PR MONTESSORI KIDS 28 rue du Fer à Moulin
0760554P,76210,Bolbec,Ecole élémentaire Jules Ferry
0763471K,76100,Rouen,Ecole Primaire Rosa Parks
0770618D,77190,Dammarie-les-Lys,Ecole élémentaire Paul Doumer
0771451J,77100,Meaux,Ecole élémentaire Condorcet groupe 1
0772803D,77670,Saint-Mammès,Ecole élémentaire Henri Geoffroy
0781145W,78112,Saint-Germain-en-Laye,Ecole élémentaire Charles Bouvard
0800326V,80000,Amiens,Ecole élémentaire chemin des Hayettes
0800510V,80200,Marchélepot-Misery,Ecole primaire MARCHELEPOT
0802172B,80340,Proyart,école primaire publique Proyart
0810891D,81600,Gaillac,Ecole primaire privée Saint Théodoric Balat
0811259D,81200,Mazamet,Ecole primaire Gravas Meyer
0811337N,81600,Gaillac,Ecole primaire privée Calandreta del Galhaguès
0811348A,81120,Lamillarié,Ecole Primaire Yves Duteil
0820795U,82130,Lafrançaise,Groupe scolaire JB VER-F DOLTO
0830170J,83000,Toulon,Ecole primaire privée Notre-Dame-Des-Missions
0840486X,84200,Carpentras,Ecole primaire Canton Nord Groupe B
0851095D,85540,Moutiers-les-Mauxfaits,Ecole primaire privée Saint Maurice
0910484G,91300,Massy,Ecole élémentaire Léon Gambetta
0910650M,91160,Longjumeau,Ecole élémentaire Docteur Albert Schweitzer
0910791R,91300,Massy,Ecole élémentaire Paul Painlevé
0910864V,91940,Les Ulis,Ecole maternelle Courdimanche-Groupe 1
0911286D,91610,Ballancourt-sur-Essonne,Ecole Primaire Saint-Martin
0920225V,92230,Gennevilliers,Ecole élémentaire publique Paul Langevin A
0920715C,92500,Rueil-Malmaison,Ecole élémentaire publique Robespierre A
0922226V,92230,Gennevilliers,Ecole élémentaire publique Joliot-Curie
0922741E,92340,Bourg-la-Reine,Ecole élémentaire privé Saint Roch
0040189J,04700,Lurs,Ecole primaire
0040209F,04190,Les Mées,Ecole maternelle Paul Langevin
0040216N,04200,Mison,Ecole primaire
0040236K,04230,Ongles,Ecole élémentaire
0040243T,04200,Peipin,Ecole primaire
0040295Z,04140,Selonnet,Ecole primaire
0040322D,04250,Turriers,Ecole primaire
0040346E,04000,Digne-les-Bains,Ecole primaire LE PIGEONNIER
0040366B,04000,Digne-les-Bains,Ecole primaire LES ARCHES
0040401P,04160,Château-Arnoux-Saint-Auban,Ecole primaire Paul Langevin
0040544V,04100,Manosque,Ecole internationale Provence Alpes Cote d'Azur
0040581K,04200,Valernes,Communauté de la Réconciliation
0050065U,05130,Sigoyer,Ecole primaire
0050082M,05120,Les Vigneaux,Ecole primaire
0050142C,05400,La Roche-des-Arnauds,Ecole primaire
0050166D,05000,Gap,Ecole primaire La Pépinière
0050169G,05000,Gap,Ecole primaire Pasteur
0050174M,05200,Embrun,Ecole primaire Pasteur
0050225T,05170,Orcières,Ecole primaire
0050342V,05310,Champcella,ECOLE PRIMAIRE PUBLIQUE
0050364U,05700,L'Epine,Ecole élémentaire
0050386T,05000,Gap,Ecole primaire La Tourronde
0050410U,05260,Ancelle,Ecole primaire
0050416A,05150,Rosans,Ecole primaire
0050450M,05120,L'Argentière-la-Bessée,Ecole élémentaire
0050459X,05110,La Saulce,Ecole primaire
0050461Z,05100,Villar-Saint-Pancrace,Ecole primaire
0050591R,05200,Puy-Saint-Eusèbe,Ecole primaire
0060157N,06850,Briançonnet,Ecole élémentaire de Briançonnet
0060160S,06530,Cabris,Ecole primaire de Cabris
0060191A,06400,Cannes,Ecole élémentaire Alice 2
0060220G,06420,Clans,Ecole primaire de Clans
0060225M,06670,Colomars,Ecole élémentaire H.P.Girard - Les Serraires
0060232V,06390,Contes,Ecole primaire La Pointe de Contes
0060235Y,06140,Coursegoules,Ecole primaire Coursegoules
0060254U,06510,Gattières,Ecole primaire d'application La Bastide
0060259Z,06500,Gorbio,Ecole élémentaire Gorbio
0060262C,06130,Grasse,Ecole élémentaire Saint-Exupéry
0060274R,06130,Grasse,Ecole élémentaire Pra d'Estang
0060351Z,06200,Nice,Ecole élémentaire Flore 2
0060362L,06200,Nice,Ecole élémentaire Magnolias 2
0060374Z,06100,Nice,Ecole maternelle Saint-Barthélémy
0060380F,06200,Nice,Ecole élémentaire Verne
0060411P,06100,Nice,Ecole Maternelle Pessicart
0060414T,06100,Nice,Ecole élémentaire Le Ray
0060434P,06100,Nice,Ecole maternelle Saint-Sylvestre
0060456N,06300,Nice,Ecole maternelle Papon
0060467A,06300,Nice,Ecole élémentaire Saint-Roch 2
0060479N,06100,Nice,Ecole élémentaire Rancher 2
0060483T,06000,Nice,Ecole maternelle annexe de l'IUFM Hyvert
0060490A,06440,Peillon,Ecole maternelle Borghéas
0060504R,06190,Roquebrune-Cap-Martin,Ecole primaire Cabbe
0060528S,06730,Saint-André-de-la-Roche,Ecole élémentaire Chemin
0060544J,06700,Saint-Laurent-du-Var,Ecole elementaire Michelis 2
0060546L,06700,Saint-Laurent-du-Var,Ecole élémentaire Gare 2
0060562D,06460,Saint-Vallier-de-Thiey,Ecole primaire Félix
0060570M,06380,Sospel,Ecole élémentaire Sospel
0060587F,06340,La Trinité,Ecole élémentaire Asso
0060604Z,06220,Vallauris,Ecole maternelle Dolto
0060642R,06000,Nice,Ecole maternelle Pasteur
0060769D,06150,Cannes,Ecole élémentaire Bocca Muriers
0060770E,06160,Antibes,Ecole élémentaire Pont du Lys
0060853V,06340,La Trinité,Ecole élémentaire Chêne Vert
0060933G,06200,Nice,Ecole maternelle Bornala-Louis Fiori
0060934H,06200,Nice,Ecole élémentaire Bonala-Louis Fiori
0060936K,06530,Peymeinade,Ecole maternelle Fragonard
0060943T,06520,Grasse,Ecole élémentaire Maure
0060953D,06190,Roquebrune-Cap-Martin,Ecole primaire Le Cap
0060996A,06600,Antibes,Ecole maternelle Le Ponteil
0060997B,06320,La Turbie,Ecole maternelle Balland
0060999D,06140,Vence,Ecole maternelle Le Suve
0061012T,06160,Antibes,Ecole élémentaire privée Notre-Dame de La Tramontane
0061014V,06160,Antibes,Ecole élémentaire privée Saint Philippe Neri
0061023E,06200,Nice,Ecole élémentaire privée Apraxine
0061025G,06000,Nice,Ecole élémentaire privée Jeanne de France
0061035T,06000,Nice,Ecole élémentaire privée Sainte Thérèse
0061036U,06100,Nice,Ecole élémentaire privée Saint Thomas d'Aquin
0061065A,06400,Cannes,Ecole élémentaire privée Sainte Marie
0061082U,06130,Grasse,Ecole maternelle Gambetta
0061084W,06300,Nice,Ecole maternelle Ariane Val d'Ariane
0061095H,06220,Vallauris,Ecole élémentaire Gachon
0061101P,06130,Grasse,Ecole primaire Saint-Mathieu
0061107W,06730,Saint-André-de-la-Roche,Ecole élémentaire Musso
0061112B,06150,Cannes,Ecole maternelle Mistral
0061151U,06580,Pégomas,Ecole maternelle Ferry
0061180A,06730,Saint-André-de-la-Roche,Ecole maternelle Le Plan
0061182C,06700,Saint-Laurent-du-Var,Ecole maternelle Les Plans
0061206D,06110,Le Cannet,Ecole maternelle Les Mirandoles
0061208F,06100,Nice,Ecole élémentaire privée Saint Barthélémy
0061223X,06200,Nice,Ecole élémentaire Bois de Boulogne
0061226A,06200,Nice,Ecole maternelle Bois de Boulogne 1
0061233H,06200,Nice,Ecole primaire Les Genêts
0061284N,06130,Grasse,Ecole maternelle Crabalona
0061287S,06300,Nice,Ecole maternelle La Sourgentine
0061353N,06220,Vallauris,Ecole maternelle Tilleuls
0061355R,06300,Nice,Ecole maternelle Ariane Lauriers Roses
0061359V,06600,Antibes,Ecole maternelle Boissier
0061431Y,06600,Antibes,Ecole maternelle Saint-Claude
0061552E,06240,Beausoleil,Ecole Doumer
0061556J,06560,Valbonne,Ecole maternelle Les Sartoux
0061588U,06460,Escragnolles,Ecole elementaire Escragnolles
0061598E,06200,Nice,Ecole maternelle Saint-Antoine-de-Ginestiere
0061618B,06220,Vallauris,Ecole maternelle Pagnol
0061674M,06190,Roquebrune-Cap-Martin,Ecole primaire Rataou
0061683X,06100,Nice,Ecole élémentaire privée Cours Read.Ped.et Scolaire
0061706X,06570,Saint-Paul-de-Vence,Ecole maternelle Saint-Paul-de-Vence
0061708Z,06000,Nice,Ecole maternelle Saint-Pierre-de-Feric
0061746R,06800,Cagnes-sur-Mer,Ecole élémentaire Val Fleuri
0061800Z,06270,Villeneuve-Loubet,Ecole élémentaire Les Maurettes
0061838R,06200,Nice,Ecole maternelle Saint-Isidore
0061855J,06500,Gorbio,Ecole maternelle Dental
0061889W,06260,La Penne,Ecole élémentaire la Penne
0061897E,06140,Vence,Ecole maternelle Signadour
0062060G,06750,Séranon,Ecole primaire de Séranon
0062124B,06130,Grasse,Ecole élémentaire privéee Happiness
0062172D,06000,Nice,SainteRita Av. Paderi
0070118R,07290,Ardoix,Ecole primaire
0070126Z,07290,Saint-Romain-d'Ay,Ecole primaire saint-Exupéry
0070169W,07700,Bourg-Saint-Andéol,Ecole maternelle Sud
0070219A,07150,Lagorce,Ecole primaire
0070247F,07340,Peaugres,Ecole primaire
0070250J,07340,Saint-Jacques-d'Atticieux,Ecole primaire
0070268D,07110,Chassiers,Ecole primaire
0070280S,07110,Sanilhac,Ecole primaire
0070284W,07110,Valgorge,Ecole primaire
0070318H,07430,Saint-Clair,Ecole primaire
0070322M,07100,Saint-Marcel-lès-Annonay,Ecole primaire
0070354X,07400,Le Teil,Ecole maternelle Bas Frayol
0070373T,07270,Lamastre,Ecole élémentaire
0070465T,07000,Privas,Ecole élémentaire René Cassin
0070478G,07000,Coux,Ecole primaire Masneuf
0070500F,07000,Veyras,Ecole primaire
0070503J,07350,Cruas,Ecole maternelle
0070510S,07400,Meysse,Ecole élémentaire
0070551L,07200,Saint-Etienne-de-Boulogne,Ecole primaire
0070556S,07200,Saint-Michel-de-Boulogne,Ecole élémentaire
0070575M,07200,Aubenas,Ecole maternelle Le Pont
0070598M,07160,Mariac,Ecole primaire
0070616G,07310,Arcens,Ecole primaire
0070656A,07240,Silhac,Ecole primaire
0070661F,07320,Saint-Agrève,Ecole élémentaire
0070704C,07300,Tournon-sur-Rhône,Ecole maternelle Antoine de Saint-Exupéry
0070742U,07190,Albon-d'Ardèche,Ecole primaire
0070752E,07190,Marcols-les-Eaux,Ecole élémentaire
0070790W,07200,Vogüé,Ecole primaire publique Volamau
0070827L,07170,Darbres,Ecole primaire
0070914F,07610,Vion,Ecole primaire
0070943M,07270,Lamastre,Ecole primaire privée Charles de Foucauld
0070962H,07310,Saint-Martial,Ecole primaire privée
0070970S,07310,Saint-Martin-de-Valamas,Ecole primaire privée Saint Joseph
0071002B,07290,Saint-Jeure-d'Ay,Ecole primaire privée
0071007G,07410,Saint-Victor,Ecole primaire privée
0071041U,07380,Lalevade-d'Ardèche,Ecole primaire privée Saint Joseph
0071050D,07000,Privas,Ecole primaire privée Saint Joseph
0071086T,07110,Largentière,Ecole primaire privée Sacré-Coeur
0071108S,07140,Les Vans,Ecole primaire privée Saint Joseph
0071111V,07130,Cornas,Ecole élémentaire
0071114Y,07140,Les Vans,Ecole élémentaire
0071116A,07700,Saint-Just-d'Ardèche,Ecole primaire
0071122G,07360,Saint-Michel-de-Chabrillanoux,Ecole primaire
0071135W,07380,Jaujac,Ecole primaire
0071140B,07410,Saint-Félicien,Ecole primaire du Bourg
0071143E,07400,Rochemaure,Ecole élémentaire
0071147J,07700,Saint-Marcel-d'Ardèche,Ecole primaire
0071151N,07100,Boulieu-lès-Annonay,Ecole primaire St Exupéry
0071152P,07700,Saint-Remèze,Ecole primaire
0071158W,07500,Guilherand-Granges,Ecole primaire Le château
0071161Z,07200,Labégude,Ecole maternelle
0071176R,07200,Saint-Privat,Ecole maternelle
0071177S,07460,Saint-Paul-le-Jeune,Ecole primaire
0071185A,07200,Labégude,Ecole élémentaire
0071207Z,07170,Lavilledieu,Ecole maternelle
0071216J,07800,Charmes-sur-Rhône,Ecole élémentaire
0071221P,07370,Sarras,Ecole élémentaire
0071222R,07430,Vernosc-lès-Annonay,Ecole primaire
0071254A,07380,Prades,Ecole primaire
0071255B,07470,Coucouron,Ecole primaire
0071266N,07210,Chomérac,Ecole élémentaire
0071269S,07400,Alba-la-Romaine,Ecole élémentaire
0071272V,07400,Alba-la-Romaine,Ecole maternelle
0071279C,07410,Colombier-le-Vieux,Ecole primaire
0071309K,07400,Rochemaure,Ecole maternelle
0071323A,07400,Le Teil,Ecole maternelle Mélas
0071379L,07340,Limony,Ecole primaire
0071387V,07380,Lalevade-d'Ardèche,Ecole primaire
0071460Z,07200,Ucel,Ecole Maternelle
0071466F,07460,Berrias-et-Casteljau,Ecole élémentaire l'atelier
0080122P,08110,Carignan,Ecole primaire
0080137F,08110,Matton-et-Clémency,Ecole primaire
0080146R,08110,Pure,Ecole primaire
0080152X,08460,Signy-l'Abbaye,Ecole maternelle
0080171T,08450,Haraucourt,Ecole primaire
0080185H,08450,Raucourt-et-Flaba,Ecole primaire
0080189M,08150,Rimogne,Ecole primaire Jules Desplous
0080194T,08230,Rocroi,Ecole primaire d'Hiraumont
0080217T,08130,Ecordal,Ecole élémentaire
0080254H,08130,Tourteron,Ecole maternelle
0080269Z,08150,Harcy,Ecole primaire d'Harcy-Sormonne
0080274E,08430,Launois-sur-Vence,Ecole primaire Jules Mary
0080277H,08310,Machault,Ecole primaire Guillaume de Machault
0080283P,08500,Les Mazures,Ecole primaire
0080284R,08090,Montcornet,Ecole primaire de Montcornet-Cliron
0080290X,08150,Renwez,Ecole primaire Jules Michelet
0080316A,08000,Charleville-Mézières,Ecole primaire d'application de Flandre
0080335W,08000,Prix-lès-Mézières,Ecole primaire Robert Meissner
0080343E,08000,Villers-Semeuse,Ecole primaire le Charme
0080349L,08440,Vivier-au-Court,Ecole primaire François Mitterrand
0080352P,08000,Warcq,Ecole maternelle Bellevue
0080415H,08140,Brévilly,Ecole primaire
0080421P,08140,Douzy,Ecole primaire
0080476Z,08310,Juniville,Ecole primaire Paul Verlaine
0080491R,08300,Rethel,Ecole primaire Louis Jouvet
0080528F,08360,Château-Porcien,Ecole primaire Jean Dion
