school_code,postal_code,city,name
0132399M,13240,Septèmes-les-Vallons,Ecole primaire Castors Isabella
0561522A,56380,Guer,Ecole primaire publique Brocéliande
0561523B,56100,Lorient,Ecole élémentaire publique Kéroman
0561678V,56100,Lorient,Ecole élémentaire publique Bisson
0132429V,13014,Marseille 14e  Arrondissement,Ecole élémentaire Saint Barthélémy Flamants
0561722T,56100,Lorient,Ecole primaire publique de Keryado
0132430W,13013,Marseille 13e  Arrondissement,Ecole maternelle Rose Sauvagine
0561788P,56890,Saint-Avé,Ecole primaire publique Anita Conti
0132432Y,13015,Marseille 15e  Arrondissement,Ecole maternelle Vallon-des-Tuves
0561794W,56000,Vannes,Ecole primaire publique Tohannic
0132434A,13014,Marseille 14e  Arrondissement,Ecole maternelle Saint-Barthélémy Flamants
0132442J,13230,Port-Saint-Louis-du-Rhône,Ecole élémentaire Romain Rolland
0692499S,69007,Lyon 7e  Arrondissement,Ecole maternelle Cavenne
0132443K,13300,Salon-de-Provence,Ecole élémentaire Bastide Haute
0692947D,69210,Sain-Bel,Ecole maternelle Du Moulin
0132452V,13620,Carry-le-Rouet,Ecole maternelle Simone Thoulouze
0694462A,69200,Vénissieux,Ecole maternelle Paul Langevin
0132456Z,13113,Lamanon,Ecole maternelle
0755460C,75015,Paris 15e  Arrondissement,E.M.PR FIRST STEPS 7 bis rue Emile duclaux
0132457A,13500,Martigues,Ecole maternelle Lucien Toulmond 1
0840368U,84860,Caderousse,Ecole primaire Jean Moulin
0132460D,13750,Plan-d'Orgon,Ecole maternelle
0890751H,89110,Le Val d'Ocre,Ecole élémentaire
0132462F,13740,Le Rove,Ecole maternelle Jacques Duclos
0132465J,13300,Salon-de-Provence,Ecole maternelle Francois Blanc
0132473T,13600,La Ciotat,Ecole maternelle Marguerite Varesio
0951417Z,95000,Cergy,Ecole élémentaire La Justice
0132479Z,13140,Miramas,Ecole maternelle Jean Giono
0952228F,95800,Cergy,école maternelle Le Nautilus
0132482C,13700,Marignane,Ecole élémentaire les Fontinelles
0132504B,13012,Marseille 12e  Arrondissement,Ecole maternelle Les Trois Lucs
0132510H,13480,Cabriès,Ecole maternelle  Petit Lac
0132518S,13127,Vitrolles,Ecole élémentaire Paul Gauguin
0132527B,13013,Marseille 13e  Arrondissement,Ecole maternelle Maurelle Jonquilles
0132534J,13090,Aix-en-Provence,Ecole maternelle Les Deux Ormeaux
0132545W,13500,Martigues,Ecole maternelle La Couronne
0132555G,13320,Bouc-Bel-Air,Ecole maternelle La Salle
0132575D,13009,Marseille  9e  Arrondissement,Ecole maternelle La Soude
0160386H,16200,Mérignac,Ecole primaire Mérignac
0132585P,13821,La Penne-sur-Huveaune,Ecole élémentaire Jacques Prévert
0160683F,16200,Houlette,Ecole primaire Houlette
0132587S,13160,Châteaurenard,Ecole maternelle Roquecoquille
0132599E,13127,Vitrolles,Ecole élémentaire Martine Morin
0132642B,13380,Plan-de-Cuques,Ecole maternelle La Montade
0132692F,13790,Peynier,Ecole maternelle Cabaret
0132697L,13500,Martigues,Ecole maternelle Robert Desnos
0132711B,13800,Istres,Ecole élémentaire  Clos de La Roche
0160888D,16100,Boutiers-Saint-Trojan,ECOLE PRIMAIRE BOUTIERS-SAINT-TROJAN
0132747R,13012,Marseille 12e  Arrondissement,Ecole maternelle Bastide Saint-Jean
0132762G,13800,Istres,Ecole élémentaire Pierre Armanet
0132763H,13600,La Ciotat,Ecole élémentaire maria fabry (severiers)
0132766L,13118,Istres,Ecole élémentaire La Clé des Champs
0601046L,60530,Fresnoy-en-Thelle,Ecole primaire
0132796U,13127,Vitrolles,Ecole maternelle Les Pinchinades
0601135H,60810,Villers-Saint-Frambourg-Ognon,Ecole primaire
0132797V,13880,Velaux,Ecole maternelle Jean Jaurès
0694456U,69006,Lyon 6e  Arrondissement,Ecole primaire privée du Coeur
0132799X,13410,Lambesc,Ecole maternelle Les Ecureuils
0890395W,89120,Charny Orée de Puisaye,Ecole élémentaire
0132806E,13800,Istres,Ecole élémentaire Jean Moulin
0930368V,93260,Les Lilas,Ecole élémentaire Romain Rolland
0132808G,13100,Aix-en-Provence,Ecole maternelle Château Double
7200555R,20290,Volpajola,Ecole primaire Barchetta Volpajola
0140582G,14440,Douvres-la-Délivrande,Ecole primaire DIAN FOSSEY
0132898E,13090,Aix-en-Provence,Ecole élémentaire Château Double
0320091A,32700,Lectoure,Ecole élémentaire publique Robert Castaing
0132901H,13140,Miramas,Ecole élémentaire La Carraire
0490110D,49250,Beaufort-en-Anjou,Ecole maternelle
0132919C,13007,Marseille  7e  Arrondissement,Ecole primaire privée Sacré-Coeur Roucas Blanc
0490451Z,49700,Doué-en-Anjou,Ecole élémentaire LES VERCHERS-SUR-LAYON
0132988C,13770,Venelles,Ecole élémentaire des Cabassols
0491692Y,49630,Loire-Authion,Ecole maternelle les Trois Cerisiers
